-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       0.832us         0.00%       0.832us       0.832us             1  
                execute_context_1(1024)_generation_0(0)         8.89%       2.005ms        83.97%      18.928ms      18.928ms       0.000us         0.00%      16.765ms      16.765ms             1  
                                Activity Buffer Request         9.10%       2.052ms         9.10%       2.052ms       1.026ms       0.000us         0.00%       0.000us       0.000us             2  
                                   cudaEventSynchronize         6.28%       1.416ms         6.36%       1.434ms     358.429us       0.000us         0.00%       0.000us       0.000us             4  
                                            aten::slice         1.17%     264.131us         1.43%     321.974us       2.176us       0.000us         0.00%       0.000us       0.000us           148  
                                       aten::as_strided         0.58%     131.027us         0.58%     131.027us       0.493us       0.000us         0.00%       0.000us       0.000us           266  
                                  cudaStreamIsCapturing         4.69%       1.058ms         4.69%       1.058ms      70.531us       0.000us         0.00%       0.000us       0.000us            15  
                                        cudaMemcpyAsync         1.51%     340.926us         1.51%     340.926us      12.176us       0.000us         0.00%       0.000us       0.000us            28  
                                       aten::lift_fresh         0.00%       0.566us         0.00%       0.566us       0.283us       0.000us         0.00%       0.000us       0.000us             2  
                                          aten::flatten         0.07%      15.124us         0.08%      17.962us       0.544us       0.000us         0.00%       0.000us       0.000us            33  
                                             aten::view         0.41%      92.082us         0.41%      92.082us       0.921us       0.000us         0.00%       0.000us       0.000us           100  
                                     aten::index_select         0.01%       3.350us         0.01%       3.350us       3.350us       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::detach         0.01%       2.669us         0.01%       2.669us       1.334us       0.000us         0.00%       0.000us       0.000us             2  
                                               aten::to         0.10%      21.972us         0.63%     141.432us       5.657us       0.000us         0.00%       8.767us       0.351us            25  
                                     aten::resolve_conj         0.00%       0.475us         0.00%       0.475us       0.237us       0.000us         0.00%       0.000us       0.000us             2  
                                      aten::resolve_neg         0.00%       0.251us         0.00%       0.251us       0.126us       0.000us         0.00%       0.000us       0.000us             2  
                                       cudaLaunchKernel         2.71%     611.767us         2.71%     611.767us       6.307us       0.000us         0.00%       0.000us       0.000us            97  
                                          aten::reshape         0.20%      44.409us         0.33%      74.211us       2.183us       0.000us         0.00%       0.000us       0.000us            34  
                                         aten::_to_copy         0.11%      24.014us         0.53%     119.460us      23.892us       0.000us         0.00%       8.767us       1.753us             5  
                                    aten::empty_strided         0.64%     143.275us         0.66%     149.216us       3.927us       0.000us         0.00%       0.000us       0.000us            38  
                                       cuLaunchKernelEx         0.02%       5.271us         0.02%       5.271us       5.271us       0.000us         0.00%       0.000us       0.000us             1  
                                               aten::lt         0.02%       3.852us         0.02%       3.852us       3.852us       0.000us         0.00%       0.000us       0.000us             1  
                                        cudaEventRecord         0.03%       7.687us         0.03%       7.687us       1.922us       0.000us         0.00%       0.000us       0.000us             4  
                                      Pregraph bytecode         0.19%      42.153us         0.19%      42.153us      42.153us       0.000us         0.00%       0.000us       0.000us             1  
                 AOTDispatcher Runtime Wrapper Prologue         0.45%     102.547us         0.45%     102.547us       6.032us       0.000us         0.00%       0.000us       0.000us            17  
## Call CompiledFxGraph frlt243nfc347xhcju737kfkkatk...         0.73%     163.908us         1.25%     282.373us     282.373us       0.000us         0.00%     118.464us     118.464us             1  
                                         cuLaunchKernel         2.61%     587.788us         2.61%     587.788us       5.202us       0.000us         0.00%       0.000us       0.000us           113  
                                 cudaDeviceGetAttribute         0.16%      35.679us         0.16%      35.679us       0.446us       0.000us         0.00%       0.000us       0.000us            80  
                                        cudaMemsetAsync         0.50%     111.630us         0.50%     111.630us       6.977us       0.000us         0.00%       0.000us       0.000us            16  
                          vllm::unified_kv_cache_update         1.87%     422.352us         4.06%     914.902us      57.181us       0.000us         0.00%      94.909us       5.932us            16  
                                           aten::unbind         0.62%     140.582us         1.51%     340.332us      10.635us       0.000us         0.00%       0.000us       0.000us            32  
                                           aten::select         0.68%     153.196us         0.89%     199.750us       3.121us       0.000us         0.00%       0.000us       0.000us            64  
                                            aten::empty         2.64%     594.392us         2.64%     594.392us       3.377us       0.000us         0.00%       0.000us       0.000us           176  
                    vllm::unified_attention_with_output         3.86%     870.776us         7.65%       1.725ms     107.795us       0.000us         0.00%     621.537us      38.846us            16  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 22.541ms
Self CUDA time total: 16.803ms

