-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
triton_poi_fused_add_index_select_mul_rms_norm_split...         0.00%       0.000us         0.00%       0.000us       0.000us       4.864us         0.05%       4.864us       4.864us             1  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       3.776us         0.04%       3.776us       0.420us             9  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.775us         0.04%       3.775us       1.888us             2  
                                             aten::div_         0.05%      13.048us         0.09%      24.508us      12.254us       3.488us         0.04%       3.488us       1.744us             2  
                                     triton_red_fused_1         0.04%      10.679us         0.06%      16.768us      16.768us       3.296us         0.03%       3.296us       3.296us             1  
                                     triton_red_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us       3.296us         0.03%       3.296us       3.296us             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.592us         0.03%       2.592us       2.592us             1  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       2.592us         0.03%       2.592us       2.592us             1  
                                              aten::add         0.16%      44.318us         0.21%      57.240us      19.080us       2.591us         0.03%       2.591us       0.864us             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.856us         0.02%       1.856us       1.856us             1  
                                            aten::fill_         0.07%      18.840us         0.17%      45.200us       9.040us       1.728us         0.02%       1.728us       0.346us             5  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.632us         0.02%       1.632us       1.632us             1  
                                     aten::exponential_         0.03%       9.499us         0.06%      16.189us      16.189us       1.504us         0.02%       1.504us       1.504us             1  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us       1.504us         0.02%       1.504us       1.504us             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.343us         0.01%       1.343us       1.343us             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.280us         0.01%       1.280us       1.280us             1  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.248us         0.01%       1.248us       1.248us             1  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       1.152us         0.01%       1.152us       1.152us             1  
                                              aten::sub         0.04%      10.260us         0.06%      16.928us      16.928us       1.120us         0.01%       1.120us       1.120us             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.120us         0.01%       1.120us       1.120us             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       0.864us         0.01%       0.864us       0.864us             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       0.864us         0.01%       0.864us       0.864us             1  
                execute_context_1(1024)_generation_0(0)         7.12%       1.942ms        91.69%      24.993ms      24.993ms       0.000us         0.00%       9.626ms       9.626ms             1  
                                Activity Buffer Request        12.48%       3.403ms        12.58%       3.428ms       1.714ms       0.000us         0.00%       0.000us       0.000us             2  
                                   cudaEventSynchronize         0.10%      28.615us         0.10%      28.615us       7.154us       0.000us         0.00%       0.000us       0.000us             4  
                                            aten::slice         1.30%     353.126us         1.58%     430.599us       2.197us       0.000us         0.00%       0.000us       0.000us           196  
                                       aten::as_strided         0.60%     164.111us         0.60%     164.111us       0.497us       0.000us         0.00%       0.000us       0.000us           330  
                                  cudaStreamIsCapturing         0.04%      11.940us         0.04%      11.940us       0.796us       0.000us         0.00%       0.000us       0.000us            15  
                                        cudaMemcpyAsync         1.08%     293.115us         1.08%     293.115us      10.468us       0.000us         0.00%       0.000us       0.000us            28  
                                       aten::lift_fresh         0.00%       0.494us         0.00%       0.494us       0.247us       0.000us         0.00%       0.000us       0.000us             2  
                                          aten::flatten         0.26%      72.189us         0.34%      91.624us       1.131us       0.000us         0.00%       0.000us       0.000us            81  
                                             aten::view         0.54%     146.009us         0.54%     146.009us       0.689us       0.000us         0.00%       0.000us       0.000us           212  
                                     aten::index_select         0.01%       3.341us         0.01%       3.341us       3.341us       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::detach         0.01%       2.976us         0.01%       2.976us       1.488us       0.000us         0.00%       0.000us       0.000us             2  
                                               aten::to         0.04%      11.515us         0.47%     129.204us      14.356us       0.000us         0.00%       8.799us       0.978us             9  
                                     aten::resolve_conj         0.00%       0.520us         0.00%       0.520us       0.260us       0.000us         0.00%       0.000us       0.000us             2  
                                      aten::resolve_neg         0.00%       0.239us         0.00%       0.239us       0.120us       0.000us         0.00%       0.000us       0.000us             2  
                                       cudaLaunchKernel         4.95%       1.351ms         4.95%       1.351ms       6.003us       0.000us         0.00%       0.000us       0.000us           225  
                                          aten::reshape         0.16%      43.552us         0.26%      71.833us       2.113us       0.000us         0.00%       0.000us       0.000us            34  
                                         aten::_to_copy         0.09%      24.139us         0.43%     117.689us      23.538us       0.000us         0.00%       8.799us       1.760us             5  
                                    aten::empty_strided         0.55%     150.369us         0.57%     156.123us       4.108us       0.000us         0.00%       0.000us       0.000us            38  
