-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        cudaEventRecord         0.21%     508.479us         0.21%     508.479us       1.971us      56.481us         0.03%      56.481us       0.219us           258  
                                   cudaEventSynchronize        27.99%      66.699ms        47.42%     112.993ms     437.956us      45.152us         0.02%       2.236ms       8.667us           258  
                               cudaEventRecordWithFlags         0.14%     337.444us         0.14%     337.444us       1.318us      25.313us         0.01%      25.313us       0.099us           256  
                                        cudaGraphLaunch        17.39%      41.428ms        18.84%      44.887ms     350.680us      11.808us         0.01%      11.808us       0.092us           128  
                                Activity Buffer Request         3.19%       7.606ms         3.59%       8.551ms       1.710ms       1.567us         0.00%     356.288us      71.258us             5  
                   execute_context_1(1)_generation_0(0)         0.39%     919.678us         1.54%       3.671ms       3.671ms       0.000us         0.00%     167.201us     167.201us             1  
                                            aten::slice         5.21%      12.404ms         6.33%      15.091ms       2.737us       0.000us         0.00%       0.000us       0.000us          5513  
                                       aten::as_strided         1.41%       3.362ms         1.41%       3.362ms       0.525us       0.000us         0.00%       0.000us       0.000us          6408  
                                        cudaMemcpyAsync         3.93%       9.360ms         3.93%       9.361ms       6.644us       0.000us         0.00%       0.000us       0.000us          1409  
                                       aten::lift_fresh         0.03%      66.085us         0.03%      66.085us       0.258us       0.000us         0.00%       0.000us       0.000us           256  
                                          aten::flatten         0.18%     438.278us         0.33%     781.578us       6.106us       0.000us         0.00%       0.000us       0.000us           128  
                                             aten::view         0.37%     889.632us         0.37%     889.632us       1.738us       0.000us         0.00%       0.000us       0.000us           512  
                                     aten::index_select         0.14%     341.073us         0.14%     341.073us       2.665us       0.000us         0.00%       0.000us       0.000us           128  
                                           aten::detach         0.18%     421.906us         0.18%     421.906us       1.648us       0.000us         0.00%       0.000us       0.000us           256  
                                               aten::to         0.62%       1.479ms         7.69%      18.334ms      15.915us       0.000us         0.00%     953.194us       0.827us          1152  
                                     aten::resolve_conj         0.03%      65.076us         0.03%      65.076us       0.254us       0.000us         0.00%       0.000us       0.000us           256  
                                      aten::resolve_neg         0.02%      37.165us         0.02%      37.165us       0.145us       0.000us         0.00%       0.000us       0.000us           256  
                                       cudaLaunchKernel         6.39%      15.225ms         6.39%      15.226ms       6.997us       0.000us         0.00%       0.000us       0.000us          2176  
                                          aten::reshape         0.15%     363.571us         0.32%     771.403us       3.013us       0.000us         0.00%       0.000us       0.000us           256  
                                         aten::_to_copy         1.21%       2.893ms         7.07%      16.855ms      26.336us       0.000us         0.00%     953.194us       1.489us           640  
                                    aten::empty_strided         1.56%       3.729ms         1.87%       4.455ms       5.801us       0.000us         0.00%       0.000us       0.000us           768  
